Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDJ08,OUT027,4992.94125717088
NCC07,OUT017,1675.549381312861
NCD19,OUT027,1705.7794681834894
FDL46,OUT049,2060.534212218633
FDM20,OUT045,4165.677444573396
NCI06,OUT010,626.5964390868522
DRM11,OUT035,4080.9057355863783
NCH07,OUT018,2431.096510108701
FDS23,OUT013,2125.7013813507856
FDO49,OUT018,699.8266923293418
FDS35,OUT049,1064.5755791030608
DRK39,OUT045,1344.658872898379
DRI39,OUT049,928.1258770286591
FDV04,OUT017,2631.69510579622
NCN14,OUT035,3153.103469772364
FDH08,OUT013,3731.487683367687
FDS20,OUT046,3153.103469772364
FDV40,OUT049,1244.9464150997628
FDZ48,OUT010,366.1812769638362
FDS24,OUT027,2331.5470869643627
FDK44,OUT049,2850.953508199207
FDS48,OUT045,2525.66338245702
FDK26,OUT010,640.7681076431901
FDD23,OUT045,3019.343001016519
NCH54,OUT017,2670.590233286735
NCP14,OUT010,379.98608002747875
FDM60,OUT010,208.44400661445496
FDV24,OUT017,2477.7822850990815
FDH08,OUT018,3154.007902679886
FDS12,OUT027,3220.5170148494135
FDR39,OUT027,5104.747413128231
FDP12,OUT027,1030.1127030705125
DRF60,OUT027,5905.163931017365
FDC09,OUT035,1675.549381312861
FDF50,OUT018,3022.55770138098
FDG28,OUT035,3912.9564418704576
NCE19,OUT017,953.1766601652652
NCM53,OUT010,379.98608002747875
NCN18,OUT049,1822.3385070134643
FDF32,OUT035,2969.5306997106663
FDF11,OUT013,3912.9564418704576
DRI59,OUT049,3746.015923148718
NCG54,OUT035,2749.687456335867
FDM44,OUT046,1675.549381312861
FDT57,OUT018,3154.007902679886
FDV24,OUT046,2477.7822850990815
FDI50,OUT019,735.6455972303938
FDS09,OUT035,867.931040730429
NCC31,OUT027,3937.3676900819455
FDQ07,OUT019,586.144280599974
FDC22,OUT017,3092.0757193101085
FDZ56,OUT046,2672.3827144320167
FDZ40,OUT019,274.7441370470286
FDS46,OUT027,2242.73328896472
DRD24,OUT045,2110.799369095998
FDV45,OUT017,3092.0757193101085
FDL26,OUT045,2462.621222868659
FDA56,OUT018,1713.5298660749422
FDN27,OUT046,1990.3330460294198
FDM20,OUT049,3927.4846816514882
FDO16,OUT017,1324.416858204743
FDL03,OUT035,3077.547479529078
FDE58,OUT046,1990.597462134706
FDI02,OUT027,3280.959233631497
NCC55,OUT019,205.1391103011519
FDR03,OUT018,3280.406637669521
FDB14,OUT017,1561.3305220492357
FDR45,OUT013,3912.9564418704576
NCN07,OUT017,2137.4872633887762
FDM51,OUT019,365.60289172160304
FDT52,OUT027,5310.755853047409
FDL26,OUT046,2462.621222868659
NCZ42,OUT046,3783.157775598312
DRI47,OUT019,481.5850606168279
FDW40,OUT013,2125.7013813507856
FDN34,OUT046,2737.9015742978763
FDS01,OUT035,2786.039619207784
NCG55,OUT045,1987.4813319179088
FDC11,OUT035,1418.1495618165598
FDX35,OUT018,3154.007902679886
NCB06,OUT046,2670.590233286735
FDR09,OUT019,704.8565171354269
FDC53,OUT017,1516.0377242189936
FDY45,OUT013,4080.9057355863783
FDA22,OUT010,593.9006522462721
FDE02,OUT035,1558.5091803401929
FDW21,OUT045,1660.6473690580729
FDV34,OUT046,1197.595822162538
FDS59,OUT049,1723.5842325808671
NCW17,OUT017,2092.8732347411083
NCK54,OUT046,2002.383344172697
FDG17,OUT019,686.6621644218878
FDG35,OUT017,2800.567858988815
FDD08,OUT010,168.84935124765514
NCO07,OUT017,3892.7261710460607
FDJ10,OUT010,458.457469026421
FDW36,OUT017,1675.549381312861
FDW21,OUT010,379.98608002747875
FDY19,OUT017,2042.163981500982
DRE03,OUT013,764.5663092701948
NCC55,OUT049,731.3105860449966
FDH52,OUT010,330.5017407896689
FDO09,OUT017,4122.627825729491
FDU43,OUT045,3876.8760256589107
FDX09,OUT010,607.3885729549953
FDH40,OUT019,380.77271466100893
FDW58,OUT017,1675.549381312861
FDC47,OUT017,3746.015923148718
NCR41,OUT035,1558.5091803401929
DRG49,OUT035,3912.9564418704576
FDC52,OUT027,3748.447950725202
FDY13,OUT046,1213.1367984501433
FDY35,OUT013,748.0594288478947
FDI35,OUT017,3167.6317095533946
NCU18,OUT049,2137.4872633887762
FDY33,OUT018,2419.31062807071
FDC15,OUT027,4173.71718853002
FDU01,OUT049,3142.461368520501
NCU42,OUT046,2749.687456335867
NCV29,OUT018,2739.6776008241163
NCY30,OUT017,3167.6317095533946
FDQ46,OUT049,1821.184167092041
FDG58,OUT027,4343.884355040104
FDK33,OUT017,3405.921002329855
NCD07,OUT045,1987.4813319179088
NCX29,OUT027,3543.165331053195
NCT42,OUT013,2356.03241988561
DRN59,OUT035,821.3514271968393
FDI44,OUT035,1306.8190415574984
FDA45,OUT049,2850.953508199207
FDP31,OUT045,1070.017633361734
FDY01,OUT046,1990.597462134706
FDT09,OUT018,1682.6066125128725
DRH03,OUT027,2555.9823058637703
FDA36,OUT018,2739.6776008241163
NCF31,OUT017,2474.4071049066497
FDG14,OUT049,2477.7822850990815
FDG28,OUT027,5428.642707908081
FDU14,OUT049,4065.7221126031336
FDY47,OUT019,413.1386461703647
FDI56,OUT049,1502.5382377976098
DRD01,OUT013,918.2907037257394
FDM22,OUT046,929.8877311766847
FDH33,OUT013,748.0594288478947
DRZ24,OUT013,2060.534212218633
NCQ38,OUT046,1675.549381312861
FDO16,OUT027,2249.852821720149
FDU07,OUT027,3749.609801671886
NCB07,OUT013,3077.547479529078
FDU48,OUT045,2110.799369095998
NCM43,OUT045,2648.466170985723
FDR31,OUT010,557.7341825176936
DRK49,OUT018,609.9677393002744
NCI30,OUT010,657.6557397477001
DRD60,OUT017,3049.3960152422824
NCG19,OUT046,3783.157775598312
FDH12,OUT035,1675.549381312861
FDM32,OUT035,1558.5091803401929
FDM27,OUT035,2462.621222868659
NCU53,OUT027,4351.302691065825
NCQ18,OUT046,1626.1852248003001
FDS10,OUT013,3004.1382552509936
FDB33,OUT027,4431.838814141016
FDI12,OUT013,1407.3963876028924
NCW42,OUT013,3362.1119800985925
NCC06,OUT018,1651.308133601384
FDW02,OUT017,2081.0873527031176
NCD43,OUT017,1675.549381312861
FDM57,OUT018,999.0595897707395
FDA58,OUT017,3927.4846816514882
FDK56,OUT046,3077.547479529078
FDP52,OUT045,3695.4072671561403
FDW20,OUT018,1713.5298660749422
FDS52,OUT049,1580.892426970058
NCT29,OUT018,1642.8390544746208
NCL54,OUT013,2786.039619207784
FDC05,OUT045,2911.3262211981073
FDF34,OUT035,3077.547479529078
FDP03,OUT027,3220.5170148494135
FDD32,OUT010,390.7110138746098
FDZ10,OUT045,2066.18534044833
FDZ40,OUT035,950.025038515778
FDD51,OUT018,609.9677393002744
NCY30,OUT019,568.2043593598999
FDP58,OUT017,3405.921002329855
FDV49,OUT017,4122.627825729491
FDY24,OUT019,247.08516904441217
NCO55,OUT017,1723.5842325808671
FDR13,OUT017,1990.597462134706
FDS51,OUT017,1018.1733758676876
FDP26,OUT045,1635.5965859214668
NCB54,OUT027,3281.373042701963
FDF32,OUT017,2629.289894643473
FDN31,OUT018,2739.6776008241163
DRM48,OUT017,708.5538772645433
FDN20,OUT049,2750.6163115300624
DRL01,OUT046,3731.487683367687
FDV56,OUT049,1723.5842325808671
DRH13,OUT027,2558.56418950716
FDA03,OUT017,2366.728242319242
FDF47,OUT027,4998.628877329984
FDX32,OUT046,2414.844720581366
FDX57,OUT049,1561.3305220492357
NCA30,OUT045,3019.343001016519
FDO49,OUT013,810.4620455429327
FDL04,OUT019,364.3732794077301
DRM48,OUT035,719.5992855281347
FDR16,OUT013,3391.3927625488245
NCC19,OUT018,2904.749598863958
NCE42,OUT045,3747.0773593867652
FDY24,OUT017,953.1766601652652
FDH19,OUT049,2850.953508199207
FDJ46,OUT013,2786.039619207784
FDN45,OUT010,708.2244763603355
FDY08,OUT035,2173.8178596129096
FDZ37,OUT035,1418.1495618165598
NCT30,OUT045,814.7857046985653
DRY23,OUT018,609.9677393002744
NCZ30,OUT018,1642.8390544746208
FDC44,OUT018,1637.9969760989914
FDB45,OUT035,1675.549381312861
FDY04,OUT013,2658.8043512487443
FDM27,OUT046,2631.69510579622
FDZ43,OUT017,3927.4846816514882
FDT39,OUT019,518.2391665824662
NCC06,OUT019,436.4350894520322
FDL15,OUT027,4334.368684239225
FDL57,OUT017,4124.7583891474615
FDU08,OUT046,1547.7560061265256
FDK40,OUT017,4122.627825729491
FDQ12,OUT010,708.2244763603355
FDS48,OUT017,2477.7822850990815
FDP09,OUT045,3333.1882840362655
FDW21,OUT049,1626.1852248003001
FDY25,OUT035,3034.8677754612518
DRE13,OUT017,1430.5401716344309
FDV43,OUT019,219.56056227927593
FDD22,OUT045,1806.2821548372528
FDM46,OUT019,395.60162206922865
NCO30,OUT010,626.5964390868522
FDM25,OUT046,2786.039619207784
NCN41,OUT049,2092.8732347411083
FDU24,OUT045,1546.4285097944476
FDZ50,OUT046,3077.547479529078
FDP45,OUT013,4051.193872822103
NCM54,OUT045,2077.9712224863206
FDW10,OUT019,568.2043593598999
FDP20,OUT017,2180.850225558745
FDK32,OUT046,2525.8987633612055
FDN52,OUT049,1385.2473738041888
FDM58,OUT045,1807.4364947586762
FDZ46,OUT027,3091.2140333110146
NCA18,OUT018,1615.2381018827355
FDD35,OUT046,2081.0873527031176
NCK31,OUT035,842.1963803329712
FDI40,OUT027,2708.9471743931203
FDT50,OUT019,395.60162206922865
NCT06,OUT046,2670.590233286735
FDT31,OUT035,3077.547479529078
FDT45,OUT049,953.1766601652652
FDT13,OUT045,3019.343001016519
FDO50,OUT045,1487.6362255428216
NCU18,OUT010,470.243351064412
NCR54,OUT049,3142.461368520501
NCO18,OUT018,2739.6776008241163
FDU09,OUT045,953.1766601652652
FDT13,OUT018,2693.9423962641263
FDE09,OUT046,1849.2166558577535
NCK53,OUT019,365.60289172160304
FDG45,OUT049,3596.647361290798
DRH15,OUT035,770.33136883476
FDO21,OUT019,686.6621644218878
FDD14,OUT027,4992.94125717088
FDC09,OUT046,1675.549381312861
FDH45,OUT027,1066.9220546345218
FDV32,OUT046,1033.5080585190115
FDG12,OUT035,2302.5070745969906
FDS32,OUT013,2173.8178596129096
NCL55,OUT018,3602.66738037419
DRE01,OUT035,3912.9564418704576
DRE15,OUT049,1296.2268576746956
NCL42,OUT045,3586.201163462297
FDP31,OUT013,1021.9110310680663
FDN33,OUT018,1371.0003947773564
FDZ59,OUT046,2658.8043512487443
FDE45,OUT010,607.3885729549953
FDJ07,OUT013,2060.534212218633
FDQ45,OUT018,2739.6776008241163
FDM33,OUT027,6292.195949859194
FDO15,OUT010,371.8250018131826
FDM46,OUT013,1547.7560061265256
FDR03,OUT045,3643.4056022008212
FDY49,OUT018,2419.31062807071
FDQ60,OUT045,1980.7065808973416
FDW10,OUT049,2850.953508199207
FDO51,OUT049,773.2280411396591
FDJ40,OUT018,1482.009709459492
FDS20,OUT018,2739.6776008241163
FDU45,OUT013,1856.9205879773742
FDV02,OUT035,2737.9015742978763
FDN09,OUT046,3912.9564418704576
NCM55,OUT027,3984.4296272665792
FDN23,OUT018,2074.613808168692
FDY31,OUT010,557.7341825176936
FDW03,OUT010,379.98608002747875
FDD14,OUT046,3077.547479529078
FDV23,OUT017,2081.0873527031176
DRI03,OUT045,2727.835140695225
FDN13,OUT035,1525.4455382115452
FDF45,OUT027,1818.238495238528
FDU46,OUT035,1418.1495618165598
FDB57,OUT049,3556.824535362161
FDV12,OUT049,1626.1852248003001
FDQ58,OUT013,2477.7822850990815
NCA18,OUT017,2002.383344172697
FDH52,OUT049,1018.1733758676876
FDM24,OUT018,2170.9005564343197
NCP43,OUT027,3984.4296272665792
NCO18,OUT019,568.2043593598999
FDM32,OUT017,1502.5382377976098
NCL07,OUT017,728.731044601811
FDK03,OUT013,4051.193872822103
FDP59,OUT017,1675.549381312861
FDQ24,OUT049,4065.7221126031336
FDQ16,OUT018,1482.009709459492
FDU44,OUT013,2706.9208295108683
FDH28,OUT010,206.70713427474828
FDV28,OUT019,192.20446834362826
FDM22,OUT045,953.1766601652652
FDR56,OUT046,3077.547479529078
FDV39,OUT049,3142.461368520501
FDU37,OUT019,348.9812473686233
FDQ11,OUT010,750.4465364915676
FDX02,OUT045,3433.706167858179
NCS42,OUT018,1371.0003947773564
FDY57,OUT027,2555.9823058637703
FDB21,OUT049,3927.4846816514882
FDE28,OUT017,3746.015923148718
FDQ55,OUT017,2042.428397606268
FDA48,OUT049,3556.824535362161
FDZ19,OUT045,2727.835140695225
NCC43,OUT045,3885.3147903384106
NCV18,OUT046,1346.5658720034467
NCA42,OUT018,2431.096510108701
FDY45,OUT046,4080.9057355863783
NCC30,OUT045,2945.9337767384345
FDM57,OUT013,1407.3963876028924
FDL09,OUT010,593.9006522462721
FDB09,OUT027,3559.5805149574903
FDT44,OUT035,2088.566700984345
NCT06,OUT027,4232.479637732144
FDX26,OUT049,3142.461368520501
FDK32,OUT013,2510.737701130783
DRA12,OUT046,2125.7013813507856
FDO46,OUT010,626.5964390868522
FDE52,OUT013,1382.3456044662864
NCH42,OUT045,3565.6086008839948
FDV08,OUT035,775.8516847711803
FDB47,OUT018,3280.406637669521
FDC28,OUT010,350.5684763440875
FDD22,OUT046,1990.597462134706
FDS07,OUT027,3187.7798887464332
DRI13,OUT045,3333.1882840362655
FDG32,OUT018,3154.007902679886
FDU14,OUT017,4065.7221126031336
FDD28,OUT019,269.41614168323036
NCP41,OUT017,1723.5842325808671
FDS08,OUT049,2850.953508199207
FDX47,OUT045,2609.571043495208
FDC53,OUT019,364.3732794077301
FDQ19,OUT035,3912.9564418704576
FDL14,OUT045,2462.621222868659
FDM33,OUT019,686.6621644218878
FDA51,OUT045,1950.6446667433117
FDZ27,OUT018,699.8266923293418
FDT04,OUT046,759.65645629884
DRC13,OUT049,2081.0873527031176
FDR16,OUT027,5276.794481367546
FDQ03,OUT027,5816.240579871771
FDE38,OUT035,2737.9015742978763
DRH23,OUT027,1766.8706492787658
FDT11,OUT019,587.4122254917568
FDD09,OUT035,3034.8677754612518
FDR40,OUT045,1508.6984139238536
FDX07,OUT017,3092.0757193101085
FDR07,OUT035,1558.5091803401929
FDA51,OUT017,1965.5466789980999
FDT59,OUT019,686.6621644218878
FDF20,OUT017,3092.0757193101085
FDR13,OUT045,1975.6954498799178
FDY26,OUT049,3766.523969704803
FDW04,OUT017,2125.7013813507856
FDK52,OUT017,3746.015923148718
FDN60,OUT049,2682.0807550066124
FDM09,OUT019,653.5838851914193
FDP46,OUT049,1430.5401716344309
FDB50,OUT019,348.9812473686233
NCQ29,OUT049,4252.821972178504
FDP16,OUT027,5428.642707908081
FDX33,OUT018,2419.31062807071
FDP07,OUT010,626.5964390868522
FDN22,OUT046,4051.193872822103
FDF39,OUT049,4124.7583891474615
FDS21,OUT017,971.7623184628014
NCM42,OUT013,1723.5842325808671
FDK50,OUT019,559.1088166922011
DRF13,OUT027,3556.698545667643
FDH35,OUT018,2419.31062807071
FDP60,OUT018,1497.6225100792403
DRJ49,OUT027,3205.914919936719
NCT42,OUT019,470.8892381831966
FDE38,OUT049,2788.2872235082687
FDI04,OUT049,3034.4445887020893
NCH54,OUT045,2621.3569255331986
FDT56,OUT049,977.2043727214746
DRD15,OUT018,3154.007902679886
FDV58,OUT013,3077.547479529078
FDP21,OUT049,3142.461368520501
FDH05,OUT013,3731.487683367687
FDR10,OUT027,4206.8050664376615
NCP06,OUT045,2341.1304076308224
FDF33,OUT049,1723.5842325808671
DRK37,OUT013,3077.547479529078
DRH49,OUT045,1369.709656034985
FDT58,OUT013,2737.9015742978763
FDD41,OUT018,1482.009709459492
FDP40,OUT018,1585.1487090950386
FDM51,OUT027,2589.5527852502178
FDO45,OUT010,412.40045553914905
FDW33,OUT010,379.98608002747875
FDY24,OUT045,953.1766601652652
FDB10,OUT010,708.2244763603355
FDM40,OUT035,2125.7013813507856
NCI06,OUT017,3049.3960152422824
FDW12,OUT019,481.5850606168279
FDX48,OUT027,3985.343091704102
NCW05,OUT027,2589.5527852502178
FDX27,OUT017,1536.2797389126297
DRM37,OUT045,2911.3262211981073
FDA38,OUT045,3876.8760256589107
FDR36,OUT046,759.65645629884
FDZ45,OUT046,2969.5306997106663
FDG05,OUT017,2631.69510579622
FDK28,OUT013,4080.9057355863783
FDV47,OUT045,1430.5401716344309
FDN21,OUT045,2636.680288947732
FDP20,OUT027,3559.5805149574903
FDI35,OUT045,3094.898991259805
DRY23,OUT013,748.0594288478947
FDA56,OUT017,2180.850225558745
FDB09,OUT013,2129.2038309652417
NCO26,OUT027,2274.9276081401617
FDQ49,OUT018,2303.13053726804
FDI52,OUT027,3138.802027881222
FDZ44,OUT027,2722.9818006131754
FDZ09,OUT018,2419.31062807071
FDY03,OUT049,1990.597462134706
NCG42,OUT017,2137.4872633887762
DRI13,OUT027,5400.811280705886
FDQ32,OUT013,2129.2038309652417
FDW16,OUT035,1448.0109939327872
FDU27,OUT046,801.2141198577461
FDR28,OUT010,593.9006522462721
FDQ49,OUT010,561.5066514226788
FDS37,OUT046,1990.597462134706
FDW26,OUT018,3154.007902679886
FDX12,OUT018,3396.1254981623706
NCP06,OUT013,2489.568167137072
FDW45,OUT010,526.9038834728842
NCN30,OUT049,1561.3305220492357
FDN24,OUT049,953.1766601652652
NCL41,OUT027,1087.9605218464012
FDR02,OUT019,365.60289172160304
FDD09,OUT010,626.5964390868522
FDS33,OUT010,412.40045553914905
FDU22,OUT045,2066.18534044833
FDI53,OUT013,2658.8043512487443
DRH01,OUT049,2850.953508199207
FDX32,OUT013,2173.8178596129096
NCP30,OUT018,602.7252139205301
FDB60,OUT045,3019.343001016519
FDB14,OUT049,1561.3305220492357
NCP02,OUT035,950.025038515778
FDJ10,OUT017,2125.7013813507856
FDG34,OUT046,1822.3385070134643
NCB18,OUT017,1430.5401716344309
FDM16,OUT049,1211.0212570042481
FDW25,OUT018,999.0595897707395
FDB35,OUT010,422.66922554475497
DRN11,OUT013,2125.7013813507856
FDF41,OUT019,918.7116192467986
FDH16,OUT045,1385.2473738041888
NCQ50,OUT018,3053.490018857972
DRH23,OUT018,767.638764634804
DRJ37,OUT013,2419.9549122962794
DRJ24,OUT027,5051.011649529811
FDY16,OUT035,3077.547479529078
FDQ27,OUT045,1660.6473690580729
FDZ33,OUT045,2329.344525592832
FDF29,OUT045,2110.799369095998
FDA08,OUT049,2808.952873314764
FDG31,OUT046,1028.0660042603383
FDE34,OUT019,587.4122254917568
NCR30,OUT027,1836.2942931695807
FDV33,OUT035,4080.9057355863783
DRZ24,OUT018,1631.0531724366297
NCL54,OUT035,2786.039619207784
FDR12,OUT049,2850.953508199207
NCC54,OUT046,4158.476790242185
DRN59,OUT013,789.6170924068008
FDX50,OUT019,351.7980886579606
FDV31,OUT027,4992.94125717088
NCA29,OUT027,5083.38741912718
FDW60,OUT049,2850.953508199207
FDX08,OUT017,3167.6317095533946
DRD49,OUT013,3912.9564418704576
FDD33,OUT046,3731.487683367687
FDW35,OUT013,748.0594288478947
FDJ36,OUT017,1675.549381312861
FDV51,OUT035,2658.8043512487443
FDW36,OUT046,1723.5842325808671
FDH35,OUT046,2658.8043512487443
NCS30,OUT027,3182.1207773568103
FDN49,OUT017,738.5531114247409
FDL08,OUT018,3684.9269170768553
FDI09,OUT013,3912.9564418704576
FDP19,OUT018,2029.189820765518
FDU21,OUT010,180.08474998451157
NCP41,OUT045,1708.682220326079
FDY10,OUT013,1856.9205879773742
FDP12,OUT018,578.23163280037
NCN26,OUT049,2002.383344172697
FDK44,OUT013,2786.039619207784
FDC28,OUT049,1678.291434750625
FDJ41,OUT027,5930.389399390605
NCT29,OUT035,2092.8732347411083
NCH42,OUT019,636.0934278092524
FDU60,OUT018,2419.31062807071
FDS02,OUT045,3019.343001016519
FDC51,OUT046,2081.0873527031176
FDU03,OUT013,3153.103469772364
FDX39,OUT045,3643.4056022008212
NCY05,OUT010,186.52996693748042
NCL06,OUT027,5717.394306601106
FDD32,OUT035,1306.8190415574984
NCN41,OUT045,2077.9712224863206
NCX53,OUT049,2137.4872633887762
FDU57,OUT019,459.1033561452056
FDQ23,OUT046,1675.549381312861
FDQ52,OUT045,4015.113456610556
FDC14,OUT045,740.2899837644475
FDY09,OUT035,2786.039619207784
FDQ28,OUT045,2415.1077450173384
FDV25,OUT046,3491.910646370738
FDJ07,OUT035,1990.597462134706
DRB25,OUT049,1675.549381312861
FDK52,OUT019,686.6621644218878
FDY52,OUT027,1709.3012462015786
FDB28,OUT046,2969.5306997106663
FDT36,OUT035,719.5992855281347
FDV25,OUT017,3506.4388861517687
NCN07,OUT027,3679.9145599221542
FDC57,OUT017,3092.0757193101085
FDQ03,OUT018,3154.007902679886
FDU23,OUT017,2737.9015742978763
NCX41,OUT035,3555.2611230812663
NCD06,OUT035,821.3514271968393
FDW08,OUT045,1708.682220326079
NCU29,OUT017,2378.5141243572325
NCE06,OUT013,2670.590233286735
FDV52,OUT010,283.3521266987274
FDB02,OUT017,2800.567858988815
NCR18,OUT045,733.0474583847032
FDK16,OUT049,1516.0377242189936
NCQ29,OUT010,795.526460549319
FDZ01,OUT019,365.60289172160304
FDW27,OUT035,2631.69510579622
FDD17,OUT018,3154.007902679886
FDW39,OUT013,2786.039619207784
DRH59,OUT045,1064.5755791030608
FDS52,OUT013,1630.256583482619
FDU40,OUT027,5045.644674885166
NCF54,OUT013,2786.039619207784
FDH46,OUT045,1660.6473690580729
NCP14,OUT049,1675.549381312861
FDH50,OUT049,3142.461368520501
DRF15,OUT010,548.3969272081
FDV27,OUT027,2331.5470869643627
NCJ06,OUT049,2092.8732347411083
FDN02,OUT018,3234.671433109531
FDQ51,OUT049,814.7857046985653
FDQ07,OUT017,3506.4388861517687
FDS45,OUT049,1675.549381312861
NCJ06,OUT045,2077.9712224863206
FDD36,OUT035,1990.597462134706
FDY25,OUT045,3094.898991259805
FDU52,OUT046,2462.621222868659
DRK47,OUT017,3746.015923148718
NCL30,OUT017,2101.342313867872
FDN22,OUT035,4051.193872822103
NCF30,OUT027,2895.098604393149
FDK03,OUT035,4080.9057355863783
FDT45,OUT017,953.1766601652652
NCC54,OUT027,5581.9676144905725
FDP08,OUT018,2904.749598863958
FDU44,OUT046,2706.9208295108683
DRG39,OUT035,924.974255379172
